symbol,date,raw_return,corporate_action_adjusted_return,source,corporate_action,official_crosscheck,resolution,original_value,replacement_value,verified
5205,2020-07-02,-0.3383512544802867,-0.3383512544802867,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,9.23,9.23,True
5205,2021-05-03,0.9909729187562688,0.9909729187562688,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,19.85,19.85,True
5205,2021-09-10,-0.3317972350230415,-0.3317972350230415,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,14.5,14.5,True
5222,2020-07-27,0.6731017000731394,0.6731017000731394,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,57.86426544189453,57.86426544189453,True
5227,2020-06-22,0.7899999999999998,-0.03659849300322926,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,17.9,17.9,True
5227,2021-06-28,0.7757009345794394,0.022054868208714273,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,19.0,19.0,True
5227,2021-12-13,0.6873563218390806,0.09929609105885895,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,73.4,73.4,True
5278,2022-08-10,-0.26070763500931093,0.09893151746664453,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,198.5,198.5,True
5278,2024-12-09,-0.8901408450704226,-0.8901408450704226,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,35.1,35.1,True
5292,2020-07-28,0.2580231988511399,0.2580231988511399,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,33.17002487182617,33.17002487182617,True
5292,2020-09-30,0.2534883445112597,0.2534883445112597,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,36.48702621459961,36.48702621459961,True
5301,2020-08-28,0.47795591182364716,0.0,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,14.75,14.75,True
5301,2025-11-12,1.090483619344774,-0.035277177825773776,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,13.4,13.4,True
5309,2018-10-03,0.3438438438438438,-0.04888416578108401,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,8.95,8.95,True
5310,2021-12-30,1.1943573667711598,-0.0014265335235377208,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,35.0,35.0,True
5314,2022-12-02,3.163179916317991,0.019989748846745092,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,19.9,19.9,True
5314,2025-03-31,-0.9454676258992806,-0.9454676258992806,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,75.8,75.8,True
5314,2026-08-14,-0.7357259380097879,0.09830508474576272,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,16.2,16.2,True
5345,2019-10-01,0.8040712468193383,0.8040712468193383,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,7.09,7.09,True
5345,2023-09-25,2.2386363636363633,0.036363636363636376,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,14.25,14.25,True
5348,2024-09-30,0.9407407407407407,-0.009451795841209809,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,26.2,26.2,True
5351,2020-09-28,0.8119022316684379,-0.09356725146198819,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,17.05,17.05,True
5381,2018-01-15,0.4248496993987976,-0.09999999999999998,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,7.11,7.11,True
5386,2026-07-20,-0.37830687830687826,-0.06374501992031878,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,235.0,235.0,True
5468,2019-10-07,2.5822784810126582,0.017253774263120025,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,14.15,14.15,True
5475,2021-04-19,0.570909090909091,0.0992366412213741,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,8.64,8.64,True
5529,2019-11-11,0.34355828220858897,-0.04366812227074235,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,8.76,8.76,True
5529,2023-09-25,0.7955555555555556,-0.003453379378391741,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,20.2,20.2,True
5536,2022-09-19,-0.4854368932038835,-0.4854368932038835,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,106.0,106.0,True
5603,2022-08-29,-0.3482905982905983,-0.07351154313487251,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,30.5,30.5,True
5701,2023-04-26,1.361878453038674,-0.04469273743016744,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,8.55,8.55,True
5904,2026-08-10,-0.89,-0.89,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,79.2,79.2,True
6026,2022-09-16,-0.25316455696202533,-0.024793388429751984,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,11.8,11.8,True
6103,2023-03-08,5.419753086419753,-0.023343171451569722,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,36.4,36.4,True
6103,2023-05-23,0.34098360655737703,0.34098360655737703,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,40.9,40.9,True
6131,2019-04-10,-0.7438202247191011,-0.7438202247191011,FinMind TaiwanStockPrice,,False,UNRESOLVED,3.42,3.42,False
6131,2020-09-28,2.290909090909091,2.290909090909091,FinMind TaiwanStockPrice,,False,UNRESOLVED,9.05,9.05,False
6134,2021-01-18,0.532520325203252,0.09848484848484862,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,18.85,18.85,True
6138,2018-10-01,0.34888059701492535,0.00013833171946320277,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,72.3,72.3,True
6144,2020-09-21,1.0915032679738563,0.0949529512403764,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,12.8,12.8,True
6148,2018-10-01,0.3529411764705883,0.011574074074073959,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,8.74,8.74,True
6158,2019-07-23,-0.2597560975609756,-0.020967741935483786,TPEx official whole-market daily tables,CASH_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,30.35,30.35,True
6158,2019-10-07,0.48282828282828305,-0.07088607594936702,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,36.7,36.7,True
6169,2019-10-07,0.4820717131474104,-0.0662650602409639,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,18.6,18.6,True
6172,2021-10-26,-0.2695852534562212,-0.2695852534562212,FinMind TaiwanStockPrice,,False,UNRESOLVED,31.7,31.7,False
6198,2020-12-01,1.2191780821917808,1.2191780821917808,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,32.4,32.4,True
6219,2023-07-11,0.5985130111524164,-0.024058102587380947,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,21.5,21.5,True
6221,2021-11-10,-0.2907801418439716,-0.00714853057982523,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,50.0,50.0,True
6222,2020-01-17,0.4112149532710281,0.000662690523525411,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,15.1,15.1,True
6225,2026-08-18,0.526682881904718,0.526682881904718,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,48.79999923706055,48.79999923706055,True
6228,2023-10-11,0.9824561403508774,-0.0030877812086458345,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,22.6,22.6,True
6236,2025-12-26,-0.2576791808873721,-0.2576791808873721,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,21.75,21.75,True
