symbol,exchange,first_seen,last_seen,trading_days,source,universe_reason,data_status
3357,TPEx,2021-04-27,2026-08-19,1294,TPEx STK_WN1430,observed in official daily market table,READY
3360,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3362,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3363,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3372,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
3373,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3374,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3379,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
3388,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3390,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3402,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3426,TPEx,2018-01-02,2026-06-01,1810,TPEx STK_WN1430,observed in official daily market table,READY
3428,TPEx,2018-01-02,2018-09-17,172,TPEx STK_WN1430,observed in official daily market table,READY
3430,TPEx,2022-09-08,2026-08-19,955,TPEx STK_WN1430,observed in official daily market table,READY
3431,TPEx,2018-01-02,2019-01-18,241,TPEx STK_WN1430,observed in official daily market table,READY
3434,TPEx,2018-01-02,2026-08-19,2009,TPEx STK_WN1430,observed in official daily market table,READY
3438,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
3441,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3444,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3452,TPEx,2018-01-02,2020-01-10,485,TPEx STK_WN1430,observed in official daily market table,READY
3455,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3465,TPEx,2018-01-03,2026-08-19,1935,TPEx STK_WN1430,observed in official daily market table,READY
3466,TPEx,2018-01-02,2026-08-19,2060,TPEx STK_WN1430,observed in official daily market table,READY
3467,TPEx,2025-03-25,2026-08-19,344,TPEx STK_WN1430,observed in official daily market table,READY
3479,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3483,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
