symbol,name,exchange,listing_date,registration,industry_code,preferred_shares,source,instrument_type,is_ky,point_in_time_complete,is_suspended,is_disposition,is_full_cash_delivery,snapshot_date
8034,榮群,TPEx,2004-05-06,－,27,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8038,長園科,TPEx,2013-11-21,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8040,九暘,TPEx,2007-04-30,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8042,金山電,TPEx,2004-03-22,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8043,蜜望實,TPEx,2003-10-24,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8044,網家,TPEx,2005-01-24,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8047,星雲,TPEx,2004-02-09,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,True,False,False,2026-08-21
8048,德勝,TPEx,2009-09-08,－,27,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8049,晶采,TPEx,2004-02-02,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8050,廣積,TPEx,2003-10-24,－,25,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8054,安國,TPEx,2004-11-08,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8059,凱碩,TPEx,2010-03-16,－,27,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8064,東捷,TPEx,2006-09-25,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8066,來思達,TPEx,2004-12-24,－,38,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8067,志旭,TPEx,2004-04-23,－,29,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8068,全達,TPEx,2004-03-25,－,29,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8069,元太,TPEx,2004-03-30,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8071,能率網通,TPEx,2003-12-29,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8074,鉅橡,TPEx,2004-01-27,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8076,伍豐,TPEx,2003-12-15,－,25,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8077,洛碁,TPEx,2004-12-06,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8080,泰霖,TPEx,2004-05-10,－,14,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8083,瑞穎,TPEx,2004-09-23,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8084,巨虹,TPEx,2004-03-08,－,29,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
