date,symbol,exchange,status,source
2019-01-23,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-23,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-24,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-25,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-28,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-29,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-30,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-02-11,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-02-11,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-02-11,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-02-11,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
