date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,candidate,rejection_reason
2026-08-19,1336,17.35,86.66666666666666,0.0,23,0.4782608695652174,20.0,52.347826086956516,False,LIQUIDITY
2026-08-19,1337,4.579999923706055,74.68076969504196,70.00269768541499,32,0.5,20.0,66.90490532986634,False,LIQUIDITY
2026-08-19,1338,14.699999809265137,73.47022786124523,64.97222143405999,39,0.3076923076923077,20.0,59.5148929476578,False,LIQUIDITY
2026-08-19,1339,45.45000076293945,55.860687378104394,0.0,32,0.46875,20.0,42.82070621343132,False,LIQUIDITY
2026-08-19,1340,5.150000095367432,73.52076066656717,26.072593798411553,29,0.3793103448275862,20.0,51.95368699440063,False,LIQUIDITY
2026-08-19,1341,58.400001525878906,53.61533121806961,7.549464780643374,2,0.0,20.0,29.971965560581726,False,LIQUIDITY
2026-08-19,1342,102.0,78.02867750409051,1.5631394868084953,23,0.43478260869565216,20.0,48.84286638379884,False,LOW_ZONE
2026-08-19,1402,28.0,72.75910544331309,0.0,21,0.14285714285714285,20.0,38.11344591870821,False,LOW_ZONE
2026-08-19,1409,24.100000381469727,92.36372170868862,0.0,27,0.3333333333333333,20.0,49.709116512606585,False,LOW_ZONE
2026-08-19,1410,25.649999618530273,88.81728762409227,0.0,8,0.125,20.0,42.39518628722768,False,LIQUIDITY
2026-08-19,1413,9.239999771118164,68.05076424444506,59.061383261670485,25,0.44,20.0,60.380575088751144,False,LIQUIDITY
2026-08-19,1414,20.0,65.58638714453437,0.0,39,0.46153846153846156,20.0,45.52206998951416,False,LIQUIDITY
2026-08-19,1416,11.75,60.80356876765042,0.0,15,0.4666666666666667,20.0,44.24107063029512,False,LIQUIDITY
2026-08-19,1417,8.180000305175781,59.69475722129658,57.616071606939364,24,0.625,20.0,63.062445068123814,False,LIQUIDITY
2026-08-19,1418,17.75,75.0,31.115454750330706,67,0.3582089552238806,20.0,53.025132344299095,False,LIQUIDITY
2026-08-19,1419,63.400001525878906,48.72470637955725,77.1659745432175,19,0.3157894736842105,20.0,55.38258976019786,False,LIQUIDITY
2026-08-19,1423,34.79999923706055,38.26086956521739,90.56773832758094,5,0.2,50.0,47.620195451460454,False,LIQUIDITY
2026-08-19,1432,15.0,47.80488534296427,63.271111940733284,54,0.42592592592592593,50.0,50.437021365850384,False,LIQUIDITY
2026-08-19,1434,17.5,73.81198366412652,0.0,5,0.0,20.0,34.143595099237956,False,LOW_ZONE
2026-08-19,1435,24.350000381469727,87.62908664255069,0.0,44,0.4772727272727273,20.0,52.60690781094702,False,LIQUIDITY
2026-08-19,1436,38.0,56.69856217250502,5.819436110801547,18,0.2777777777777778,50.0,34.29776101278522,False,LIQUIDITY
2026-08-19,1437,32.20000076293945,47.838476192552214,0.0,9,0.1111111111111111,20.0,29.684876191098997,False,LIQUIDITY
2026-08-19,1438,22.450000762939453,72.00941803636115,0.0,42,0.47619047619047616,20.0,47.88853969662263,False,LIQUIDITY
2026-08-19,1439,29.299999237060547,75.65838842510713,0.0,30,0.4,20.0,46.697516527532144,False,LIQUIDITY
2026-08-19,1440,13.350000381469727,76.73078000403319,0.0,34,0.35294117647058826,20.0,45.607469295327604,False,LIQUIDITY
2026-08-19,1441,8.800000190734863,51.57955336218911,79.90331991154856,33,0.5151515151515151,50.0,58.404241441089326,False,LIQUIDITY
2026-08-19,1442,29.899999618530273,53.815087704599875,0.0,31,0.41935483870967744,20.0,40.72517147267028,False,LIQUIDITY
2026-08-19,1443,24.149999618530273,71.91920097056123,90.14345000135489,17,0.29411764705882354,20.0,64.9351522032718,False,LIQUIDITY
2026-08-19,1444,7.139999866485596,92.04861620065168,2.542313345169242,36,0.4444444444444444,20.0,53.58349652982115,False,LIQUIDITY
2026-08-19,1445,10.149999618530273,68.78297583034485,79.10917159340839,25,0.6,50.0,65.91218564745554,False,LIQUIDITY
2026-08-19,1446,13.600000381469727,46.823859865286174,82.1397723578295,41,0.4878048780487805,50.0,56.71624739050664,False,LIQUIDITY
2026-08-19,1447,6.789999961853027,95.36306207585703,5.202668665685293,27,0.48148148148148145,20.0,56.35403023362288,False,LIQUIDITY
2026-08-19,1449,12.050000190734863,80.65506754098108,61.89715706584392,67,0.43283582089552236,20.0,64.65588415562098,False,LIQUIDITY
2026-08-19,1451,17.25,43.40908730607356,16.35092458991924,17,0.23529411764705882,20.0,36.16928086871364,False,LIQUIDITY
2026-08-19,1452,11.300000190734863,50.870019746300684,0.0,9,0.4444444444444444,20.0,40.59433925722354,False,LIQUIDITY
2026-08-19,1453,11.149999618530273,73.41269213336047,13.333389847390855,39,0.41025641025641024,20.0,49.66484740954816,False,LIQUIDITY
2026-08-19,1454,12.300000190734863,73.3388715371335,84.09771574159979,29,0.6206896551724138,20.0,73.64678005171241,False,LIQUIDITY
2026-08-19,1455,9.989999771118164,77.20810766732652,0.0,43,0.32558139534883723,20.0,44.92987416066307,False,LIQUIDITY
2026-08-19,1456,13.5,97.12192481591316,22.20951978772856,58,0.43103448275862066,20.0,59.61999187446471,False,LIQUIDITY
2026-08-19,1457,14.350000381469727,55.30075093621438,0.0,11,0.36363636363636365,20.0,39.49931618995522,False,LIQUIDITY
2026-08-19,1459,14.0,77.78023185020825,10.209032486680927,29,0.4827586206896552,20.0,52.369086297422356,False,LIQUIDITY
2026-08-19,1460,6.519999980926514,70.6268223600868,79.35262870900581,34,0.23529411764705882,20.0,60.08502741468926,False,LIQUIDITY
2026-08-19,1463,17.450000762939453,41.103903309940804,42.47761425904808,15,0.5333333333333333,20.0,50.95057455774426,False,LIQUIDITY
2026-08-19,1464,10.100000381469727,74.34468925316622,77.76228525157273,20,0.0,20.0,53.74397808884305,False,LIQUIDITY
2026-08-19,1465,12.050000190734863,59.82894717583997,78.99575941787903,17,0.35294117647058826,20.0,60.28585930133939,False,LIQUIDITY
2026-08-19,1466,16.350000381469727,95.42302283867295,0.0,47,0.425531914893617,20.0,53.392864298410394,False,LIQUIDITY
