symbol,security_type,exchange,name,category,unit,trading_suspended,disposition_level,attention_flag,settlement_type,reference,update_date,source,retrieved_at
3141,STK,OTC,晶宏,24,1000.0,False,0.0,False,0,71.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.244795
3147,STK,OTC,大綜,30,1000.0,False,0.0,False,0,221.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.246256
3152,STK,OTC,璟德,27,1000.0,False,0.0,False,0,223.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.246256
3158,STK,OTC,嘉實,30,1000.0,False,0.0,False,0,82.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.246256
3162,STK,OTC,精確,05,1000.0,False,0.0,False,0,62.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.246256
3163,STK,OTC,波若威,27,1000.0,False,1.0,False,0,710.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.247288
3169,STK,OTC,亞信,24,1000.0,False,0.0,False,0,100.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.247288
3171,STK,OTC,炎洲流通,38,1000.0,False,0.0,False,0,63.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.247822
3176,STK,OTC,基亞,22,1000.0,False,0.0,False,0,34.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.247822
3178,STK,OTC,公準,24,1000.0,False,0.0,False,0,58.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.247822
3188,STK,OTC,鑫龍騰,14,1000.0,False,0.0,False,0,23.85,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.247822
3191,STK,OTC,雲嘉南,28,1000.0,False,0.0,False,0,18.15,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.249395
3205,STK,OTC,佰研,22,1000.0,False,0.0,False,0,48.25,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.250024
3206,STK,OTC,志豐,28,1000.0,False,0.0,False,0,34.9,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.250024
3207,STK,OTC,耀勝,28,1000.0,False,0.0,False,0,39.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.251084
3211,STK,OTC,順達,25,1000.0,False,0.0,False,0,369.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.251084
3213,STK,OTC,茂訊,25,1000.0,False,0.0,False,0,132.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.251084
3217,STK,OTC,優群,28,1000.0,False,0.0,False,0,136.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.251084
3218,STK,OTC,大學光,22,1000.0,False,0.0,False,0,136.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.251084
3219,STK,OTC,倚強科,31,1000.0,False,0.0,False,0,69.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.251084
3221,STK,OTC,台嘉碩,27,1000.0,False,0.0,False,0,47.85,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.252637
3224,STK,OTC,三顧,29,1000.0,False,0.0,False,0,34.3,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.252637
3226,STK,OTC,龍鋒,05,1000.0,False,0.0,False,0,52.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.252637
3227,STK,OTC,原相,24,1000.0,False,0.0,False,0,198.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.252637
3228,STK,OTC,金麗科,24,1000.0,False,0.0,False,0,139.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.253732
3230,STK,OTC,錦明,26,1000.0,False,0.0,False,0,41.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.253732
3232,STK,OTC,昱捷,29,1000.0,False,0.0,False,0,19.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.253732
3234,STK,OTC,光環,27,1000.0,False,0.0,False,0,147.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.253732
3236,STK,OTC,千如,28,1000.0,False,0.0,False,0,46.65,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.254744
3252,STK,OTC,海灣,16,1000.0,False,0.0,False,0,15.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.254744
3259,STK,OTC,鑫創,24,1000.0,False,0.0,False,1,11.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.255253
3260,STK,OTC,威剛,24,1000.0,False,0.0,False,0,395.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.255253
3264,STK,OTC,欣銓,24,1000.0,False,0.0,False,0,206.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.255253
3265,STK,OTC,台星科,24,1000.0,False,0.0,False,0,180.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.255253
3268,STK,OTC,海德威,24,1000.0,False,0.0,False,0,18.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.255253
3272,STK,OTC,東碩,25,1000.0,False,0.0,False,0,14.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.255253
3276,STK,OTC,宇環,28,1000.0,False,0.0,False,0,14.45,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.255253
3284,STK,OTC,太普高,20,1000.0,False,0.0,False,0,20.6,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.256798
3285,STK,OTC,微端,31,1000.0,False,0.0,False,0,36.65,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.256798
3287,STK,OTC,廣寰科,25,1000.0,False,0.0,False,0,38.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.256798
3288,STK,OTC,點晶,28,1000.0,False,0.0,False,0,22.25,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.256798
3289,STK,OTC,宜特,31,1000.0,False,0.0,False,0,135.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.256798
3290,STK,OTC,東浦,28,1000.0,False,0.0,False,0,50.9,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.256798
3293,STK,OTC,鈊象,32,1000.0,False,0.0,False,0,749.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.256798
3294,STK,OTC,英濟,28,1000.0,False,0.0,False,0,30.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.258351
3297,STK,OTC,杭特,26,1000.0,False,0.0,False,0,26.95,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.258351
3303,STK,OTC,岱稜,31,1000.0,False,0.0,False,0,52.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.258351
