date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,take_profit
2023-05-03,4977,103.5,95.7983193277311,82.86738919430144,38,0.6578947368421053,20.0,81.19318520215785,0.15
2023-05-04,4977,102.0,95.40517961570593,83.56343833109516,38,0.6578947368421053,20.0,81.24925557274874,0.15
2023-05-09,4977,102.0,96.08892548373817,76.97698374047357,38,0.6578947368421053,20.0,79.807765685503,0.15
2023-05-11,4977,98.5,95.48440065681444,81.68503234580169,38,0.6578947368421053,20.0,80.80342038875791,0.15
2023-05-12,4977,100.0,95.26554137505147,66.41770840728014,38,0.6578947368421053,20.0,76.92093161959863,0.15
2023-05-15,4977,99.5999984741211,95.49698362815661,68.23220320896394,38,0.6578947368421053,20.0,77.44398799595113,0.15
2023-06-12,4977,91.4000015258789,89.26894775113972,87.85777302568954,38,0.6578947368421053,20.0,80.48196968702746,0.15
2020-01-30,4979,22.35,91.10232328225408,85.61768267124994,19,0.6842105263157895,20.0,81.2614334419624,0.15
2020-01-31,4979,21.45,89.41798941798942,88.85698194232697,19,0.6842105263157895,20.0,81.56595810045225,0.15
2020-02-03,4979,19.7,84.51225150254277,93.72503014259968,19,0.6842105263157895,20.0,81.31124877588643,0.15
2020-02-07,4979,20.25,85.47619047619048,66.9910460902457,19,0.6842105263157895,20.0,74.91693445489226,0.15
2024-03-21,4979,138.0,91.45591250854409,86.60454475501898,49,0.6530612244897959,20.0,80.67974667601186,0.15
2024-03-22,4979,139.0,92.44505494505495,70.94544960552216,49,0.6530612244897959,20.0,77.0617156195909,0.15
2024-07-22,4979,116.0,99.29627023223082,79.00499046460155,56,0.6607142857142857,20.0,81.3615572572482,0.15
2024-07-23,4979,113.0,99.30313588850174,87.13990307813151,56,0.6607142857142857,20.0,83.39734510751197,0.15
2024-07-26,4979,108.5,95.98323436954243,89.57418911895343,56,0.6607142857142857,20.0,83.00994616202965,0.15
2024-07-29,4979,103.0,93.66221308667352,92.1839682564133,56,0.6607142857142857,20.0,82.96608456153395,0.15
2024-07-30,4979,103.5,94.96002780674314,88.18727725951763,56,0.6607142857142857,20.0,82.35625622833092,0.15
2024-07-31,4979,104.0,94.39775910364145,82.299657596552,56,0.6607142857142857,20.0,80.71567070165901,0.15
2024-08-01,4979,105.5,95.61249561249561,69.8086789281698,56,0.6607142857142857,20.0,77.9573469872197,0.15
2024-08-02,4979,99.3,93.6303562913005,90.08450993060487,56,0.6607142857142857,20.0,82.43166294146994,0.15
2024-08-05,4979,89.4,87.84266181720213,96.41338627762084,56,0.6607142857142857,20.0,82.27757368599441,0.15
2025-03-11,4979,171.5,92.83058948486457,68.20620489185131,58,0.6724137931034483,20.0,77.07314186152564,0.15
2025-03-31,4979,168.5,99.66307277628033,82.40367856576752,58,0.6724137931034483,20.0,82.67225526742942,0.15
2025-04-01,4979,164.5,97.14976679910174,84.80822940757815,58,0.6724137931034483,20.0,82.51940118472851,0.15
