symbol,exchange,rows,first_date,last_date,duplicate_dates,invalid_ohlcv_rows,max_field_missing_ratio,missing_trading_day_ratio,has_120_days,downloaded
3479,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3483,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3484,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3485,TPEx,74,2026-05-06,2026-08-19,0,0,0.0,0.0,False,True
3489,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
3490,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
3491,TPEx,2093,2018-01-02,2026-08-19,0,0,0.0,0.0009546539379474694,True,True
3492,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
3498,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
3499,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3508,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3511,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3512,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3516,TPEx,2069,2018-01-02,2026-08-19,0,0,0.0,0.012410501193317436,True,True
3520,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
3521,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
3522,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
3523,TPEx,1974,2018-01-02,2026-08-19,0,0,0.0,0.057756563245823345,True,True
3526,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
3527,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3529,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3531,TPEx,1974,2018-01-02,2026-08-19,0,0,0.0,0.057756563245823345,True,True
3537,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3540,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3541,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3546,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3548,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3551,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3552,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3555,TPEx,1960,2018-01-02,2026-08-19,0,0,0.0,0.06443914081145585,True,True
3556,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3558,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3564,TPEx,2080,2018-01-02,2026-08-19,0,0,0.0,0.007159904534606243,True,True
3567,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3570,TPEx,2077,2018-01-02,2026-08-19,0,0,0.0,0.008591885441527447,True,True
